"Code","Title","Description"
"337","Furniture and Related Product ManufacturingT","Industries in the Furniture and Related Product Manufacturing subsector make furniture and related articles, such as mattresses, window blinds, cabinets, and fixtures.  The processes used in the manufacture of furniture include the cutting, bending, molding, laminating, and assembly of such materials as wood, metal, glass, plastics, and rattan.  However, the production process for furniture is not solely bending metal, cutting and shaping wood, or extruding and molding plastics.  Design and fashion trends play an important part in the production of furniture.  The integrated design of the article for both esthetic and functional qualities is also a major part of the process of manufacturing furniture.  Design services may be performed by the furniture establishment's work force or may be purchased from industrial designers.

Furniture may be made of any material, but the most common ones used in North America are metal and wood.  Furniture manufacturing establishments may specialize in making articles primarily from one material.  Some of the equipment required to make a wooden table, for example, is different from that used to make a metal one.  However, furniture is usually made from several materials.  A wooden table might have metal brackets, and a wooden chair a fabric or plastics seat.  Therefore, in NAICS, furniture initially is classified based on the type of furniture (application for which it is designed) rather than the material used.  For example, an upholstered sofa is treated as household furniture, although it may also be used in hotels or offices.

When classifying furniture according to the component material from which it is made, furniture made from more than one material is classified based on the material used in the frame, or if there is no frame, the predominant component material.  Upholstered household furniture (excluding kitchen and dining room chairs with upholstered seats) is classified without regard to the frame material.  Kitchen or dining room chairs with upholstered seats are classified according to the frame material.

Furniture may be made on a stock or custom basis and may be shipped assembled or unassembled (i.e., knockdown).  The manufacture of furniture parts and frames is included in this subsector.

Some of the processes used in furniture manufacturing are similar to processes that are used in other segments of manufacturing.  For example, cutting and assembly occurs in the production of wood trusses that are classified in Subsector 321, Wood Product Manufacturing.  However, the multiple processes that distinguish wood furniture manufacturing from wood product manufacturing warrant inclusion of wooden furniture manufacturing in the Furniture and Related Product Manufacturing subsector.  Metal furniture manufacturing uses techniques that are also employed in the manufacturing of roll formed products classified in Subsector 332, Fabricated Metal Product Manufacturing.  The molding process for plastics furniture is similar to the molding of other plastics products.  However, plastics furniture producing establishments tend to specialize in furniture.

NAICS attempts to keep furniture manufacturing together, but there are notable exceptions: concrete, ceramic, or stone furniture; seating for transportation equipment; and specialized hospital furniture (e.g., hospital beds and operating tables).  These are classified in Subsector 327, Nonmetallic Mineral Product Manufacturing; Subsector 336, Transportation Equipment Manufacturing; and Subsector 339, Miscellaneous Manufacturing, respectively.
"
"3371","Household and Institutional Furniture and Kitchen Cabinet ManufacturingT","This industry group comprises establishments manufacturing household-type furniture, such as living room, kitchen and bedroom furniture and institutional (i.e., public building) furniture, such as furniture for schools, theaters, and churches.
"
"33711","Wood Kitchen Cabinet and Countertop ManufacturingT","See industry description for 337110."
"337110","Wood Kitchen Cabinet and Countertop Manufacturing","This industry comprises establishments primarily engaged in manufacturing wood or plastics laminated on wood kitchen cabinets, bathroom vanities, and countertops (except freestanding).  The cabinets and counters may be made on a stock or custom basis.

Cross-References. Establishments primarily engaged in--"
"33712","Household and Institutional Furniture ManufacturingT","This industry comprises establishments primarily engaged in manufacturing household-type and public building furniture (e.g., library, school, theater, and church furniture).  This industry includes establishments that manufacture general purpose hospital, laboratory, and/or dental furniture (e.g., stools, tables, benches).  The furniture may be made on a stock or custom basis and may be assembled or unassembled (i.e., knockdown).

Cross-References. Establishments primarily engaged in--"
"337121","Upholstered Household Furniture Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing upholstered household-type furniture.  The furniture may be made on a stock or custom basis.

Cross-References. Establishments primarily engaged in--"
"337122","Nonupholstered Wood Household Furniture Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing nonupholstered wood household-type furniture and freestanding cabinets (except television, stereo, and sewing machine cabinets).  The furniture may be made on a stock or custom basis and may be assembled or unassembled (i.e., knockdown).

Cross-References. Establishments primarily engaged in--"
"337126","Household Furniture (except Wood and Upholstered) Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing nonupholstered household-type furniture of materials other than wood, such as metal, plastics, reed, rattan, wicker, and fiberglass.  The furniture may be partially upholstered (e.g., chairs with upholstered seats or backs), made on a stock or custom basis, and may be assembled or unassembled (i.e., knockdown).

Cross-References. Establishments primarily engaged in--"
"337127","Institutional Furniture Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing institutional-type furniture (e.g., library, school, theater, and church furniture).  Included in this industry are establishments primarily engaged in manufacturing general purpose hospital, laboratory, and dental furniture (e.g., tables, stools, and benches).  The furniture may be made on a stock or custom basis and may be assembled or unassembled (i.e., knockdown).

Cross-References. Establishments primarily engaged in--"
"3372","Office Furniture (including Fixtures) ManufacturingT","NULL"
"33721","Office Furniture (including Fixtures) ManufacturingT","This industry comprises establishments primarily engaged in manufacturing office furniture and/or office and store fixtures.  The furniture may be made on a stock or custom basis and may be assembled or unassembled (i.e., knockdown).

Cross-References. Establishments primarily engaged in--"
"337211","Wood Office Furniture Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing wood office-type furniture.  The furniture may be made on a stock or custom basis and may be assembled or unassembled (i.e., knockdown).
"
"337212","Custom Architectural Woodwork and Millwork Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing custom designed interiors consisting of architectural woodwork and fixtures utilizing wood, wood products, and plastics laminates.  All of the industry output is made to individual order on a job shop basis and requires skilled craftsmen as a labor input.  A job might include custom manufacturing of display fixtures, gondolas, wall shelving units, entrance and window architectural detail, sales and reception counters, wall paneling, and matching furniture.

Cross-References. Establishments primarily engaged in--"
"337214","Office Furniture (except Wood) Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing nonwood office-type furniture.  The furniture may be made on a stock or custom basis and may be assembled or unassembled (i.e., knockdown).

Cross-References."
"337215","Showcase, Partition, Shelving, and Locker Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing wood and nonwood office and store fixtures, shelving, lockers, frames, partitions, and related fabricated products of wood and nonwood materials, including plastics laminated fixture tops.  The products are made on a stock or custom basis and may be assembled or unassembled (i.e., knockdown).  Establishments exclusively making furniture parts (e.g., frames) are included in this industry.

Cross-References. Establishments primarily engaged in--"
"3379","Other Furniture Related Product ManufacturingT","This industry group comprises establishments manufacturing furniture related products, such as mattresses, blinds, and shades.
"
"33791","Mattress ManufacturingT","See industry description for 337910."
"337910","Mattress Manufacturing","This industry comprises establishments primarily engaged in manufacturing innerspring, box spring, and noninnerspring mattresses.

Cross-References. Establishments primarily engaged in--"
"33792","Blind and Shade ManufacturingT","See industry description for 337920."
"337920","Blind and Shade Manufacturing","This industry comprises establishments primarily engaged in manufacturing one or more of the following: venetian blinds, other window blinds, and shades; curtain and drapery rods and poles; and/or curtain and drapery fixtures.  The blinds and shades may be made on a stock or custom basis and may be made of any material.

Cross-References. Establishments primarily engaged in--"
"339","Miscellaneous ManufacturingT","Industries in the Miscellaneous Manufacturing subsector make a wide range of products that cannot readily be classified in specific NAICS subsectors in manufacturing.  Processes used by these establishments vary significantly, both among and within industries.  For example, a variety of manufacturing processes are used in manufacturing sporting and athletic goods that include products such as tennis rackets and golf balls.  The processes for these products differ from each other, and the processes differ significantly from the fabrication processes used in making dolls or toys, the melting and shaping of precious metals to make jewelry, and the bending, forming, and assembly used in making medical products.

The industries in this subsector are defined by what is made rather than how it is made.  Although individual establishments might be appropriately classified elsewhere in the NAICS structure, for historical continuity, these product-based industries were maintained.  In most cases, no one process or material predominates for an industry.

Establishments in this subsector manufacture products as diverse as medical equipment and supplies, jewelry, sporting goods, toys, and office supplies.
"
"3391","Medical Equipment and Supplies ManufacturingT","NULL"
"33911","Medical Equipment and Supplies ManufacturingT","This industry comprises establishments primarily engaged in manufacturing medical equipment and supplies.  Examples of products made by these establishments are surgical and medical instruments, surgical appliances and supplies, dental equipment and supplies, orthodontic goods, ophthalmic goods, dentures, and orthodontic appliances.

Cross-References. Establishments primarily engaged in--"
"339112","Surgical and Medical Instrument Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing medical, surgical, ophthalmic, and veterinary instruments and apparatus (except electrotherapeutic, electromedical, and irradiation apparatus).  Examples of products made by these establishments are syringes, hypodermic needles, anesthesia apparatus, blood transfusion equipment, catheters, surgical clamps, and medical thermometers.

Cross-References. Establishments primarily engaged in--"
"339113","Surgical Appliance and Supplies Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing surgical appliances and supplies.  Examples of products made by these establishments are orthopedic devices, prosthetic appliances, surgical dressings, crutches, surgical sutures, personal industrial safety devices (except protective eyewear), hospital beds, and operating room tables.

Cross-References. Establishments primarily engaged in--"
"339114","Dental Equipment and Supplies Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing dental equipment and supplies used by dental laboratories and offices of dentists, such as dental chairs, dental instrument delivery systems, dental hand instruments, dental impression material, and dental cements.

Cross-References."
"339115","Ophthalmic Goods Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing ophthalmic goods.  Examples of products made by these establishments are prescription eyeglasses (except grinding lenses in a retail setting), contact lenses, sunglasses, eyeglass frames, reading glasses made to standard powers, and protective eyewear.

Cross-References. Establishments primarily engaged in--"
"339116","Dental Laboratories","This U.S. industry comprises establishments primarily engaged in manufacturing dentures, crowns, bridges, and orthodontic appliances customized for individual application.

Cross-References."
"3399","Other Miscellaneous ManufacturingT","This industry group comprises establishments primarily engaged in miscellaneous manufacturing, such as jewelry and silverware manufacturing, sporting and athletic goods manufacturing, doll, toy, and game manufacturing, office supplies (except paper) manufacturing, sign manufacturing, and all other miscellaneous manufacturing.
"
"33991","Jewelry and Silverware ManufacturingT","See industry description for 339910."
"339910","Jewelry and Silverware Manufacturing","This industry comprises establishments primarily engaged in one or more of the following: (1) manufacturing, engraving, chasing, or etching fine and costume jewelry; (2) manufacturing, engraving, chasing, or etching metal personal goods (i.e., small articles carried on or about the person, such as compacts or cigarette cases); (3) manufacturing, engraving, chasing, or etching precious metal solid, precious metal clad, or pewter flatware and other hollowware; (4) stamping coins; (5) manufacturing unassembled jewelry parts and stock shop products, such as sheet, wire, and tubing; (6) cutting, slabbing, tumbling, carving, engraving, polishing, or faceting precious or semiprecious stones and gems; (7) recutting, repolishing, and setting gem stones; and (8) drilling, sawing, and peeling cultured and costume pearls.  This industry includes establishments primarily engaged in manufacturing precious solid, precious clad, and precious plated jewelry and personal goods.

Cross-References. Establishments primarily engaged in--"
"33992","Sporting and Athletic Goods ManufacturingT","See industry description for 339920."
"339920","Sporting and Athletic Goods Manufacturing","This industry comprises establishments primarily engaged in manufacturing sporting and athletic goods (except apparel and footwear).

Cross-References. Establishments primarily engaged in--"
"33993","Doll, Toy, and Game ManufacturingT","See industry description for 339930."
"339930","Doll, Toy, and Game Manufacturing","This industry comprises establishments primarily engaged in manufacturing complete dolls, doll parts, doll clothes, action figures, toys, games (including electronic, such as gaming consoles and devices and handheld video games), hobby kits, and children's vehicles (except metal bicycles and tricycles).

Cross-References. Establishments primarily engaged in--"
"33994","Office Supplies (except Paper) ManufacturingT","See industry description for 339940."
"339940","Office Supplies (except Paper) Manufacturing","This industry comprises establishments primarily engaged in manufacturing office supplies.  Examples of products made by these establishments are pens, pencils, felt tip markers, crayons, chalk, pencil sharpeners, staplers, modeling clay, hand operated stamps, stamp pads, stencils, carbon paper, and inked ribbons.

Cross-References. Establishments primarily engaged in--"
"33995","Sign ManufacturingT","See industry description for 339950."
"339950","Sign Manufacturing","This industry comprises establishments primarily engaged in manufacturing signs and related displays of all materials (except printing paper and paperboard signs, notices, displays).

Cross-References. Establishments primarily engaged in--"
"33999","All Other Miscellaneous ManufacturingT","This industry comprises establishments primarily engaged in miscellaneous manufacturing (except medical equipment and supplies, jewelry and silverware, sporting and athletic goods, dolls, toys, games, office supplies, and signs).

Illustrative Examples:

Artificial Christmas trees manufacturing
Burial caskets and cases manufacturing
Candles manufacturing
Coin- or card-operated amusement machines (except jukebox) manufacturing
Electronic cigarettes manufacturing
Floor and dust mops manufacturing
Musical instruments (except toy) manufacturing
Fasteners, buttons, needles, and pins (except precious metals or precious and semiprecious stones and gems) manufacturing
Gasket, packing, and sealing devices manufacturing
Portable fire extinguishers manufacturing
Umbrellas manufacturing


Cross-References. Establishments primarily engaged in--"
"339991","Gasket, Packing, and Sealing Device Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing gaskets, packing, and sealing devices of all materials.
"
"339992","Musical Instrument Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing musical instruments (except toys).

Cross-References."
"339993","Fastener, Button, Needle, and Pin Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing fasteners, buttons, needles, pins, and buckles (except made of precious metals or precious and semiprecious stones and gems).

Cross-References. Establishments primarily engaged in--"
"339994","Broom, Brush, and Mop Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing brooms, mops, and brushes."
"339995","Burial Casket Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing burial caskets, cases, and vaults (except concrete).

Cross-References."
"339999","All Other Miscellaneous Manufacturing","This U.S. industry comprises establishments primarily engaged in miscellaneous manufacturing (except medical equipment and supplies, jewelry and silverware, sporting and athletic goods, dolls, toys, games, office supplies, signs, gaskets, packing, and sealing devices, musical instruments, fasteners, buttons, needles, pins, brooms, brushes, mops, and burial caskets).

Illustrative Examples:

Artificial Christmas trees manufacturing
Candles manufacturing
Christmas tree ornaments (except glass and electric) manufacturing
Cigarette lighters (except precious metal) manufacturing
Coin- or card-operated amusement machines (except jukebox) manufacturing
Electronic cigarettes manufacturing
Hairpieces (e.g., wigs, toupees, wiglets) manufacturing
Portable fire extinguishers manufacturing
Potpourri manufacturing
Tobacco pipes manufacturing
Umbrellas manufacturing


Cross-References. Establishments primarily engaged in--"
"42","Wholesale TradeT","The Sector as a Whole

The Wholesale Trade sector comprises establishments engaged in wholesaling merchandise, generally without transformation, and rendering services incidental to the sale of merchandise.  The merchandise described in this sector includes the outputs of agriculture, mining, manufacturing, and certain information industries, such as publishing.

The wholesaling process is an intermediate step in the distribution of merchandise.  Wholesalers are organized to sell or arrange the purchase or sale of (a) goods for resale (i.e., goods sold to other wholesalers or retailers), (b) capital or durable nonconsumer goods, and (c) raw and intermediate materials and supplies used in production.

Wholesalers sell merchandise to other businesses and normally operate from a warehouse or office.  These warehouses and offices are characterized by having little or no display of merchandise.  In addition, neither the design nor the location of the premises is intended to solicit walk-in traffic.  Wholesalers do not normally use advertising directed to the general public.  Customers are generally reached initially via telephone, in-person marketing, or by specialized advertising that may include Internet and other electronic means.  Follow-up orders are either vendor-initiated or client-initiated, generally based on previous sales, and typically exhibit strong ties between sellers and buyers.  In fact, transactions are often conducted between wholesalers and clients that have long-standing business relationships.

This sector comprises two main types of wholesalers: merchant wholesalers that sell goods on their own account and agents and brokers that arrange sales and purchases for others generally for a commission or fee.

(1)   Establishments that sell goods on their own account are known as wholesale merchants, distributors, jobbers, drop shippers, and import/export merchants.  Also included as wholesale merchants are sales offices and sales branches (but not retail stores) maintained by manufacturing, refining, or mining enterprises apart from their plants or mines for the purpose of marketing their products, and group purchasing organizations primarily purchasing and selling goods on their own account.  Merchant wholesale establishments typically maintain their own warehouse, where they receive and handle goods for their customers.  Goods are generally sold without transformation, but may include integral functions, such as sorting, packaging, labeling, and other marketing services.

(2)   Establishments arranging for the purchase or sale of goods owned by others or purchasing goods, generally on a commission basis are known as business-to-business electronic markets, agents and brokers, commission merchants, import/export agents and brokers, auction companies, group purchasing organizations (acting as agents), and manufacturers' representatives.  These establishments operate from offices and generally do not own or handle the goods they sell.

Some wholesale establishments may be connected with a single manufacturer and promote and sell the particular manufacturer's products to a wide range of other wholesalers or retailers.  Other wholesalers may be connected to a retail chain, or limited number of retail chains, and only provide a variety of products needed by that particular retail operation(s).  These wholesalers may obtain the products from a wide range of manufacturers.  Still other wholesalers may not take title to the goods, but act as agents and brokers for a commission.

Although, in general, wholesaling normally denotes sales in large volumes, durable nonconsumer goods may be sold in single units.  Sales of capital or durable nonconsumer goods used in the production of goods and services, such as farm machinery, medium- and heavy-duty trucks, and industrial machinery, are always included in wholesale trade.
"
"423","Merchant Wholesalers, Durable Goods","Industries in the Merchant Wholesalers, Durable Goods subsector sell capital or durable goods to other businesses.  Merchant wholesalers generally take title to the goods that they sell; in other words, they buy and sell goods on their own account.  Durable goods are new or used items generally with a normal life expectancy of three years or more.  Durable goods merchant wholesale trade establishments are engaged in wholesaling products, such as motor vehicles, furniture, construction materials, machinery and equipment (including household-type appliances), metals and minerals (except petroleum), sporting goods, toys and hobby goods, recyclable materials, and parts.

Agents and brokers primarily engaged in wholesaling durable goods, generally on a commission or fee basis, are classified in Subsector 425, Wholesale Trade Agents and Brokers.
"
"4231","Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers","This industry group comprises establishments primarily engaged in the merchant wholesale distribution of automobiles and other motor vehicles, motor vehicle supplies, tires, and new and used parts.
"
"42311","Automobile and Other Motor Vehicle Merchant Wholesalers","See industry description for 423110."
"423110","Automobile and Other Motor Vehicle Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of new and used passenger automobiles, trucks, trailers, and other motor vehicles, such as motorcycles, motor homes, and snowmobiles.
"
"42312","Motor Vehicle Supplies and New Parts Merchant Wholesalers","See industry description for 423120."
"423120","Motor Vehicle Supplies and New Parts Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of motor vehicle supplies, accessories, tools, and equipment; and new motor vehicle parts (except new tires and tubes).

Cross-References. Establishments primarily engaged in--"
"42313","Tire and Tube Merchant Wholesalers","See industry description for 423130."
"423130","Tire and Tube Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of new and/or used tires and tubes for passenger and commercial vehicles.

Cross-References. Establishments primarily engaged in--"
"42314","Motor Vehicle Parts (Used) Merchant Wholesalers","See industry description for 423140."
"423140","Motor Vehicle Parts (Used) Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of used motor vehicle parts (except used tires and tubes) and establishments primarily engaged in dismantling motor vehicles for the purpose of selling the parts.

Cross-References. Establishments primarily engaged in--"
"4232","Furniture and Home Furnishing Merchant Wholesalers","This industry group comprises establishments primarily engaged in the merchant wholesale distribution of furniture (except hospital beds, medical furniture, and drafting tables), home furnishings, and/or housewares.
"
"42321","Furniture Merchant Wholesalers","See industry description for 423210."
"423210","Furniture Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of furniture (except hospital beds, medical furniture, and drafting tables).

Illustrative Examples:

Household-type furniture merchant wholesalers
Outdoor furniture merchant wholesalers
Mattresses merchant wholesalers
Public building furniture merchant wholesalers
Office furniture merchant wholesalers
Religious furniture merchant wholesalers


Cross-References. Establishments primarily engaged in--"
"42322","Home Furnishing Merchant Wholesalers","See industry description for 423220."
"423220","Home Furnishing Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of home furnishings and/or housewares.

Illustrative Examples:

Carpet merchant wholesalers
Floor coverings (except wood flooring) merchant wholesalers
Glassware, household-type, merchant wholesalers
Chinaware, household-type, merchant wholesalers
Lamps (i.e., lighting fixtures) merchant wholesalers
Household-type cooking utensils merchant wholesalers
Curtains merchant wholesalers
Draperies merchant wholesalers
Linens (e.g., bath, bed, table) merchant wholesalers
Window shades and blinds merchant wholesalers


Cross-References. Establishments primarily engaged in--"
"4233","Lumber and Other Construction Materials Merchant Wholesalers","This industry group comprises establishments primarily engaged in the merchant wholesale distribution of lumber, plywood, millwork, and wood panels; brick, stone, and related construction materials; roofing, siding, and insulation materials; and other construction materials, including manufactured homes (i.e., mobile homes) and/or prefabricated buildings.
"
"42331","Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","See industry description for 423310."
"423310","Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of lumber; plywood; reconstituted wood fiber products; wood fencing; doors and windows and their frames (all materials); wood roofing and siding; and/or other wood or metal millwork.

Cross-References. Establishments primarily engaged in--"
"42332","Brick, Stone, and Related Construction Material Merchant Wholesalers","See industry description for 423320."
"423320","Brick, Stone, and Related Construction Material Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of stone, cement, lime, construction sand, and gravel; brick; asphalt and concrete mixtures; and/or concrete, stone, and structural clay products.

Cross-References. Establishments primarily engaged in--"
"42333","Roofing, Siding, and Insulation Material Merchant Wholesalers","See industry description for 423330."
"423330","Roofing, Siding, and Insulation Material Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of nonwood roofing and nonwood siding and insulation materials.

Cross-References."
"42339","Other Construction Material Merchant Wholesalers","See industry description for 423390."
"423390","Other Construction Material Merchant Wholesalers","This industry comprises (1) establishments primarily engaged in the merchant wholesale distribution of manufactured homes (i.e., mobile homes) and/or prefabricated buildings and (2) establishments primarily engaged in the merchant wholesale distribution of construction materials (except lumber, plywood, millwork, wood panels, brick, stone, roofing, siding, electrical and wiring supplies, and insulation materials).

Illustrative Examples:

Flat glass merchant wholesalers
Prefabricated buildings (except wood) merchant wholesalers
Ornamental ironwork merchant wholesalers
Fencing and fencing accessories (except wood) merchant wholesalers
Plate glass merchant wholesalers
Storage bins merchant wholesalers


Cross-References. Establishments primarily engaged in--"
"4234","Professional and Commercial Equipment and Supplies Merchant Wholesalers","This industry group comprises establishments primarily engaged in the merchant wholesale distribution of photographic equipment and supplies; office, computer, and computer peripheral equipment; and medical, dental, hospital, ophthalmic, and other commercial and professional equipment and supplies.
"
"42341","Photographic Equipment and Supplies Merchant Wholesalers","See industry description for 423410."
"423410","Photographic Equipment and Supplies Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of photographic equipment and supplies (except office equipment).

Illustrative Examples:

Photofinishing equipment merchant wholesalers
Television cameras merchant wholesalers
Photographic camera equipment and supplies merchant wholesalers
Video cameras (except household-type) merchant wholesalers
Photographic film and plates merchant wholesalers


Cross-References. Establishments primarily engaged in--"
"42342","Office Equipment Merchant Wholesalers","See industry description for 423420."
"423420","Office Equipment Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of office machines and related equipment (except computers and computer peripheral equipment).

Illustrative Examples:

Automated teller machines (ATM) merchant wholesalers
Calculators and calculating machines merchant wholesalers
Cash registers merchant wholesalers
Security safes merchant wholesalers
Copying machines merchant wholesalers
Point of sale terminals merchant wholesalers
Paper shredders merchant wholesalers


Cross-References. Establishments primarily engaged in--"
"42343","Computer and Computer Peripheral Equipment and Software Merchant Wholesalers","See industry description for 423430."
"423430","Computer and Computer Peripheral Equipment and Software Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of computers, computer peripheral equipment, loaded computer boards, and/or computer software.

Cross-References. Establishments primarily engaged in--"
"42344","Other Commercial Equipment Merchant Wholesalers","See industry description for 423440."
"423440","Other Commercial Equipment Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of commercial and related machines and equipment (except photographic equipment and supplies; office equipment; and computers and computer peripheral equipment and software) generally used in restaurants and stores.

Illustrative Examples:

Balances and scales (except laboratory) merchant wholesalers
Commercial shelving merchant wholesalers
Coin- or card-operated merchandising machine merchant wholesalers
Electrical signs merchant wholesalers
Commercial chinaware merchant wholesalers
Partitions merchant wholesalers
Commercial cooking equipment merchant wholesalers
Store fixtures (except refrigerated) merchant wholesalers


Cross-References. Establishments primarily engaged in--"
"42345","Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers","See industry description for 423450."
"423450","Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of professional medical equipment, instruments, and supplies (except ophthalmic equipment and instruments and goods used by ophthalmologists, optometrists, and opticians).

Illustrative Examples:

Dental equipment and supplies merchant wholesalers
Surgical dressings merchant wholesalers
Electromedical equipment merchant wholesalers
Patient monitoring equipment merchant wholesalers
Hospital beds merchant wholesalers
Prosthetic appliances and supplies merchant wholesalers
Hospital furniture merchant wholesalers
Surgical instruments and apparatus merchant wholesalers
Medical and dental X-ray machines and parts merchant wholesalers
First-aid kits (except household) merchant wholesalers
Surgical and medical masks merchant wholesalers


Cross-References. Establishments primarily engaged in--"
"42346","Ophthalmic Goods Merchant Wholesalers","See industry description for 423460."
"423460","Ophthalmic Goods Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of professional equipment, instruments, and/or goods sold, prescribed, or used by ophthalmologists, optometrists, and opticians.

Illustrative Examples:

Binoculars merchant wholesalers
Optometric equipment and supplies merchant wholesalers
Ophthalmic frames merchant wholesalers
Sunglasses merchant wholesalers
Ophthalmic lenses merchant wholesalers

"
"42349","Other Professional Equipment and Supplies Merchant Wholesalers","See industry description for 423490."
"423490","Other Professional Equipment and Supplies Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of professional equipment and supplies (except ophthalmic goods and medical, dental, and hospital equipment and supplies).

Illustrative Examples:

Church supplies (except silverware, plated ware) merchant wholesalers
School equipment and supplies (except books, furniture) merchant wholesalers
Drafting tables and instruments merchant wholesalers
Scientific instruments merchant wholesalers
Laboratory equipment (except medical, dental) merchant wholesalers
Surveying equipment and supplies merchant wholesalers


Cross-References. Establishments primarily engaged in--"
"4235","Metal and Mineral (except Petroleum) Merchant Wholesalers","This industry group comprises establishments primarily engaged in the merchant wholesale distribution of products of the primary metals industries (including metal service centers) and coal, coke, metal ores, and/or nonmetallic minerals (except precious and semiprecious stones and minerals used in construction).
"
"42351","Metal Service Centers and Other Metal Merchant Wholesalers","See industry description for 423510."
"423510","Metal Service Centers and Other Metal Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of products of the primary metals industries.  Service centers maintain inventory and may perform functions, such as sawing, shearing, bending, leveling, cleaning, or edging, on a custom basis as part of sales transactions.

Illustrative Examples:

Cast iron pipe merchant wholesalers
Metal rods merchant wholesalers
Metal bars (except precious) merchant wholesalers
Metal sheets merchant wholesalers
Metal spikes merchant wholesalers
Metal ingots (except precious) merchant wholesalers
Metal pipe merchant wholesalers
Nails merchant wholesalers
Metal plates merchant wholesalers
Noninsulated wire merchant wholesalers


Cross-References. Establishments primarily engaged in--"
"42352","Coal and Other Mineral and Ore Merchant Wholesalers","See industry description for 423520."
"423520","Coal and Other Mineral and Ore Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of coal, coke, metal ores, and/or nonmetallic minerals (except precious and semiprecious stones and minerals used in construction, such as sand and gravel).

Cross-References. Establishments primarily engaged in--"
"4236","Household Appliances and Electrical and Electronic Goods Merchant Wholesalers","This industry group comprises establishments primarily engaged in the merchant wholesale distribution of electrical apparatus and equipment, wiring supplies, and related equipment; household appliances, electric housewares, and consumer electronics; and other electronic parts and equipment.
"
"42361","Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers","See industry description for 423610."
"423610","Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of electrical construction materials; wiring supplies; electric light fixtures; light bulbs; and/or electrical power equipment for the generation, transmission, distribution, or control of electric energy.
"
"42362","Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers","See industry description for 423620."
"423620","Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of household-type gas and electric appliances (except water heaters and heating stoves (i.e., noncooking)), room air-conditioners, and/or household-type audio or video equipment.

Illustrative Examples:

Household-type sewing machines merchant wholesalers
Household-type radios (including automotive) merchant wholesalers	
Household-type video cameras merchant wholesalers
Household-type refrigerators merchant wholesalers
Television sets merchant wholesalers
Toothbrushes, electric, merchant wholesalers
Curling irons, electric, merchant wholesalers


Cross-References. Establishments primarily engaged in--"
"42369","Other Electronic Parts and Equipment Merchant Wholesalers","See industry description for 423690."
